timestamp,latency_ms,memory_mb,cumulative_reward
2025-07-03T23:57:09,7.24,194.69,-0.1
2025-07-03T23:57:09,0.41,194.69,-0.2
2025-07-03T23:57:09,0.38,194.69,-0.3
2025-07-03T23:57:10,1.27,194.72,-0.4
2025-07-03T23:57:10,1.09,194.72,-0.5
2025-07-03T23:57:10,0.93,194.72,-0.6
2025-07-03T23:57:10,1.06,194.72,-0.7
2025-07-03T23:57:10,1.12,194.72,-0.8
2025-07-03T23:57:10,0.94,194.75,-0.9
2025-07-03T23:57:10,1.29,194.78,-1.0
2025-07-03T23:57:10,1.04,194.78,-1.1
2025-07-03T23:57:10,0.88,194.78,-1.2
2025-07-03T23:57:10,1.11,194.78,-1.3
2025-07-03T23:57:11,1.25,194.81,-1.4
2025-07-03T23:57:11,1.13,194.81,-1.5
2025-07-03T23:57:11,1.12,194.81,-1.6
2025-07-03T23:57:11,1.15,194.81,-1.7
2025-07-03T23:57:11,0.76,194.81,8.3
