timestamp,latency_ms,memory_mb,cumulative_reward
2025-07-03T23:55:51,8.4,194.92,-0.1
2025-07-03T23:55:51,0.1,194.92,-0.2
2025-07-03T23:55:51,0.07,194.92,-0.3
2025-07-03T23:55:51,0.07,194.92,-0.4
2025-07-03T23:55:51,0.06,194.92,-0.5
2025-07-03T23:55:51,0.06,194.92,-0.6
2025-07-03T23:55:51,0.06,194.92,-0.7
2025-07-03T23:55:51,0.06,194.92,-0.8
2025-07-03T23:55:51,0.06,194.92,-0.9
2025-07-03T23:55:51,0.06,194.92,-1.0
2025-07-03T23:55:51,0.05,194.92,-1.1
2025-07-03T23:55:51,0.05,194.92,-1.2
2025-07-03T23:55:51,0.05,194.94,-1.3
2025-07-03T23:55:51,0.05,194.94,-1.4
2025-07-03T23:55:51,0.05,194.94,-1.5
2025-07-03T23:55:51,0.05,194.94,-1.6
2025-07-03T23:55:51,0.05,194.94,-1.7
2025-07-03T23:55:51,0.05,194.94,8.3
